driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,performance_score,performance_tier
D076,East,FullTime,15,61.6,3.88,Morning,1,71.2,High
D077,South,FullTime,8,64.9,3.68,Morning,1,70.12,High
D078,North,FullTime,11,73.7,4.28,Morning,1,80.84,High
D079,South,PartTime,1,75.2,4.48,Night,1,83.84,High
D080,Central,FullTime,11,75.2,4.35,Flexible,1,82.28,High
D081,Riverside,PartTime,1,82.0,4.78,Flexible,1,90.16,Elite
D082,West,PartTime,14,74.1,4.63,Evening,1,85.2,Elite
D083,North,FullTime,12,80.8,4.16,Flexible,1,82.24,High
D084,Central,PartTime,2,47.2,3.99,Evening,1,66.76,Moderate
D085,North,PartTime,9,84.5,4.11,Evening,0,83.12,High
D086,North,PartTime,14,70.6,5.0,Flexible,1,88.24,Elite
D087,North,Contract,13,73.3,4.43,Night,1,82.48,High
D088,Riverside,Contract,4,84.3,4.17,Morning,1,83.76,High
D089,Central,FullTime,2,71.1,4.57,Night,1,83.28,High
D090,North,FullTime,8,58.0,3.78,Morning,1,68.56,Moderate
D091,Riverside,FullTime,12,68.0,4.46,Night,1,80.72,High
D092,East,FullTime,15,88.2,4.24,Evening,1,86.16,Elite
D093,South,PartTime,12,75.2,4.43,Flexible,1,83.24,High
D094,Central,PartTime,6,60.8,4.48,Night,0,78.08,High
D095,West,FullTime,12,99.0,3.15,Night,1,77.4,High
D096,Central,FullTime,4,56.4,4.03,Morning,1,70.92,High
D097,West,FullTime,2,79.1,4.48,Flexible,1,85.4,Elite
D098,South,Contract,3,70.9,4.29,Morning,1,79.84,High
D099,North,Contract,10,82.7,3.48,Night,1,74.84,High
D100,Central,FullTime,4,62.0,4.31,Flexible,1,76.52,High
D101,West,FullTime,8,75.6,4.48,Morning,1,84.0,High
D102,East,PartTime,10,67.6,4.62,Morning,1,82.48,High
D103,Central,FullTime,15,72.5,4.4,Morning,1,81.8,High
D104,West,FullTime,15,87.7,3.45,Morning,1,76.48,High
D105,Riverside,Contract,2,82.0,3.71,Morning,1,77.32,High
D106,Central,Contract,12,71.9,3.66,Morning,1,72.68,High
D107,Riverside,FullTime,14,57.0,4.82,Flexible,1,80.64,High
D108,South,FullTime,10,70.6,4.33,Morning,1,80.2,High
D109,Central,Contract,14,68.1,3.94,Morning,1,74.52,High
D110,Riverside,Contract,7,40.6,4.1,Morning,1,65.44,Moderate
D111,Airport,FullTime,15,79.2,4.12,Night,1,81.12,High
D112,East,FullTime,14,79.1,4.51,Morning,1,85.76,Elite
D113,Airport,PartTime,8,70.5,4.47,Evening,1,81.84,High
D114,Central,FullTime,2,57.4,4.07,Evening,1,71.8,High
D115,South,FullTime,11,69.5,4.77,Morning,1,85.04,Elite
D116,Central,FullTime,4,58.2,4.19,Morning,1,73.56,High
D117,North,FullTime,1,71.1,3.93,Flexible,1,75.6,High
D118,North,FullTime,1,80.6,4.88,Night,1,90.8,Elite
D119,South,FullTime,5,56.0,3.55,Flexible,1,65.0,Moderate
D120,North,PartTime,3,76.9,3.72,Morning,1,75.4,High
D121,Riverside,Contract,3,75.2,4.97,Morning,1,89.72,Elite
D122,South,FullTime,2,63.5,4.29,Morning,1,76.88,High
D123,Riverside,FullTime,3,93.5,4.12,Flexible,1,86.84,Elite
D124,North,FullTime,4,70.6,3.78,Night,1,73.6,High
D125,North,PartTime,15,90.5,4.07,Morning,1,85.04,Elite
D126,East,PartTime,9,69.7,4.1,Evening,1,77.08,High
D127,Central,FullTime,10,61.5,4.19,Morning,1,74.88,High
D128,Central,Contract,13,84.7,3.32,Morning,1,73.72,High
D129,North,FullTime,10,64.9,4.18,Night,1,76.12,High
D130,West,FullTime,8,71.2,3.64,Evening,1,72.16,High
D131,South,FullTime,9,86.7,4.26,Night,0,85.8,Elite
D132,South,Contract,8,77.6,4.2,Evening,1,81.44,High
D133,South,Contract,12,88.2,3.99,Flexible,1,83.16,High
D134,South,PartTime,4,61.5,3.59,Flexible,1,67.68,Moderate
D135,Riverside,PartTime,2,70.3,4.4,Flexible,1,80.92,High
D136,Airport,FullTime,4,89.5,3.99,Evening,1,83.68,High
D137,North,Contract,10,65.6,4.4,Flexible,1,79.04,High
D138,Central,PartTime,11,69.2,4.61,Evening,1,83.0,High
D139,South,FullTime,10,71.4,4.99,Evening,1,88.44,Elite
D140,North,FullTime,7,80.1,3.92,Morning,1,79.08,High
D141,North,PartTime,14,71.4,3.44,Flexible,1,69.84,Moderate
D142,Airport,FullTime,12,98.7,4.23,Night,1,90.24,Elite
D143,Central,FullTime,6,68.5,4.14,Night,1,77.08,High
D144,West,FullTime,6,85.0,3.83,Morning,1,79.96,High
D145,North,FullTime,11,68.4,4.09,Morning,1,76.44,High
D146,Airport,Contract,1,75.2,4.36,Morning,1,82.4,High
D147,West,FullTime,13,66.4,3.8,Night,1,72.16,High
D148,Central,PartTime,10,53.1,4.4,Flexible,1,74.04,High
D149,Airport,FullTime,7,81.5,4.55,Night,1,87.2,Elite
D150,East,FullTime,12,88.1,4.08,Night,1,84.2,High
D151,East,FullTime,2,71.3,4.69,Flexible,1,84.8,High
D152,North,PartTime,5,75.2,4.06,Flexible,1,78.8,High
D153,East,FullTime,8,82.3,3.83,Evening,1,78.88,High
D154,Airport,FullTime,4,67.0,4.35,Evening,1,79.0,High
D155,Central,PartTime,6,69.5,3.98,Morning,1,75.56,High
D156,South,FullTime,14,84.5,3.62,Evening,1,77.24,High
D157,South,FullTime,13,74.1,4.42,Evening,1,82.68,High
D158,Central,FullTime,5,81.4,4.45,Morning,1,85.96,Elite
D159,Airport,FullTime,11,68.6,4.18,Morning,1,77.6,High
D160,East,FullTime,12,72.8,4.48,Morning,1,82.88,High
D161,North,FullTime,1,84.7,4.02,Evening,1,82.12,High
D162,Riverside,Contract,11,69.0,4.62,Night,1,83.04,High
D163,Riverside,FullTime,11,78.2,4.5,Morning,0,85.28,Elite
D164,Central,FullTime,5,76.1,4.07,Flexible,1,79.28,High
D165,North,PartTime,10,82.2,3.89,Night,1,79.56,High
D166,West,PartTime,7,74.6,4.07,Night,1,78.68,High
D167,South,PartTime,12,75.3,4.64,Night,1,85.8,Elite
D168,North,FullTime,12,93.6,3.84,Morning,1,83.52,High
D169,East,Contract,5,77.6,3.81,Flexible,1,76.76,High
D170,West,FullTime,14,75.2,4.48,Morning,1,83.84,High
