delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,completion_missing_flag,actual_duration_hours,temporal_anomaly_flag,promised_window_hours,service_type,priority_level,pickup_zone,dropoff_zone,order_value,delay_hours,is_late
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 02:29:05.367622,OnTime,13.85,0,0,4.36,15.17,0,-0.6651756605555555,1,1,Passenger,Low,South,West,20.68,0.0,0
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05.387672,Failed,16.96,3,0,3.03,16.98,0,13.751496575555555,0,6,Business,Medium,Central,Riverside,321.68,7.751496575555555,1
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30.834127,OnTime,6.01,2,0,3.96,11.52,0,2.0752317019444444,0,6,Business,Medium,East,Central,80.04,0.0,0
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.795700,OnTime,16.46,0,0,3.67,11.74,0,8.178832138888888,0,12,Passenger,Medium,East,West,61.87,0.0,0
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56.080634,OnTime,26.58,3,0,4.47,21.64,0,9.482244620555555,0,12,Retail,Medium,Airport,West,71.08,0.0,0
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00.780258,OnTime,18.25,1,0,5.0,12.61,0,3.066883405,0,6,Passenger,High,West,Airport,76.75,0.0,0
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42.086626,Delayed,20.79,0,0,1.0,15.62,0,8.661690729444445,0,1,Medical,High,Central,Riverside,188.73,7.6616907294444445,1
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 09:54:19.874248,OnTime,13.67,0,0,4.46,16.18,0,-0.9611460422222222,1,2,Retail,Low,West,West,132.01,0.0,0
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41.272083,OnTime,16.35,4,0,4.97,13.97,0,7.9114644675,0,6,Parcel,Low,Central,East,103.78,1.9114644675,1
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,OnTime,24.31,0,0,4.15,12.61,0,1.6938309466666668,0,4,Medical,Low,North,North,54.41,0.0,0
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52.916514,OnTime,9.77,4,0,4.07,6.43,0,21.014699031666666,0,24,Passenger,Medium,Central,North,9.42,0.0,0
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39.715444,Failed,15.81,0,0,3.5,15.62,0,4.077698734444445,0,4,Parcel,Medium,East,Central,97.55,0.07769873444444464,1
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11.392658,OnTime,4.29,1,0,5.0,2.5,0,1.3531646272222222,0,4,Retail,Medium,Central,West,69.17,0.0,0
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44.601237,OnTime,8.58,0,0,4.78,14.62,0,3.6457225658333337,0,4,Retail,Medium,South,Airport,260.15,0.0,0
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15.665186,OnTime,7.41,0,0,5.0,7.2,0,2.6710181072222223,0,4,Medical,Low,South,Central,56.47,0.0,0
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45.831712,Failed,14.27,2,0,2.23,10.04,0,38.54606436444445,0,24,Passenger,High,West,Riverside,133.71,14.546064364444447,1
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2024-01-02 00:13:30.937528,OnTime,13.27,0,0,4.15,9.05,0,20.89192709111111,0,24,Medical,Medium,East,South,19.26,0.0,0
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00.393100,Delayed,15.53,2,0,2.7,13.05,0,12.383442527777778,0,4,Business,Critical,South,North,56.73,8.383442527777778,1
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,2024-05-15 04:38:00.000000,OnTime,9.43,1,0,3.72,8.72,0,-2.183333333333333,1,1,Passenger,Low,North,Central,94.32,0.0,0
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2024-06-16 19:22:12.494298,OnTime,7.71,1,0,4.1,16.42,0,0.420137305,0,1,Parcel,Medium,West,North,80.48,0.0,0
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2025-07-23 23:21:38.152021,OnTime,12.06,0,0,4.1,14.98,0,-0.17273554972222221,1,2,Passenger,High,South,South,71.2,0.0,0
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,OnTime,15.58,1,0,4.23,13.75,0,2.9962067233333336,0,6,Retail,Low,South,North,34.55,0.0,0
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,2024-11-19 06:51:25.201294,Failed,11.72,0,1,4.13,18.12,0,40.840333692777776,0,24,Medical,Critical,Riverside,Central,125.38,16.840333692777776,1
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2025-06-19 05:14:57.054608,Delayed,14.68,0,0,4.4,9.44,0,17.232515168888888,0,2,Medical,Critical,West,Airport,10.07,15.232515168888888,1
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,2025-05-22 01:56:14.948650,OnTime,22.05,0,0,4.96,14.78,0,4.354152402777778,0,6,Business,Medium,South,East,142.68,0.0,0
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12.967657,OnTime,15.77,1,0,4.35,13.68,0,5.920268793611111,0,4,Retail,Medium,South,West,35.54,1.9202687936111111,1
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2025-05-16 02:10:07.723523,OnTime,23.49,1,0,4.21,11.21,0,23.76881208972222,0,24,Retail,Low,East,Central,62.26,0.0,0
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,2025-10-26 16:43:11.478296,Failed,8.82,2,0,3.43,13.21,0,1.2031884155555557,0,2,Business,Medium,South,South,85.0,0.0,0
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2025-07-27 04:22:45.664955,Failed,17.13,1,0,2.51,16.3,0,12.412684709722223,0,4,Passenger,Low,Central,East,76.58,8.412684709722223,1
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2025-02-02 04:04:35.282288,Failed,9.53,1,0,1.68,11.11,0,19.44313396888889,0,4,Retail,Low,Riverside,North,229.93,15.44313396888889,1
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,2024-02-01 19:53:37.396269,Failed,15.88,3,1,2.94,13.19,0,10.927054519166665,0,6,Retail,Low,North,South,62.8,4.927054519166665,1
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,OnTime,12.02,0,0,4.45,11.41,0,9.748425948333333,0,12,Retail,Critical,North,East,78.93,0.0,0
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,2024-12-04 20:31:28.589644,OnTime,11.94,0,0,4.24,11.81,0,4.757941567777777,0,6,Retail,Medium,South,West,27.48,0.0,0
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2024-07-12 12:20:42.900637,OnTime,4.63,0,0,4.34,12.87,0,2.5619168436111113,0,6,Retail,Critical,North,West,32.27,0.0,0
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2025-11-07 21:03:01.572726,OnTime,10.61,1,0,5.0,14.13,0,20.517103535,0,24,Retail,Low,West,Central,44.93,0.0,0
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,2025-10-31 06:59:41.392827,OnTime,5.53,2,0,3.09,11.27,0,23.4114980075,0,24,Parcel,Low,West,West,42.02,0.0,0
DL00047,O00263,D045,V091,H06,2024-02-19 04:07:00,2024-02-19 03:46:04.685358,OnTime,16.33,0,0,5.0,10.25,0,-0.34869851166666666,1,2,Parcel,Low,West,Central,63.35,0.0,0
DL00048,O00358,D045,V093,H05,2024-03-20 13:40:00,2024-03-20 18:11:50.892104,Delayed,7.37,0,0,3.33,14.67,0,4.530803362222223,0,4,Passenger,Low,Riverside,Central,94.51,0.5308033622222226,1
DL00049,O01076,D091,V018,H02,2024-09-29 01:23:00,2024-09-29 07:46:30.295652,OnTime,12.55,0,0,3.52,6.93,0,6.391748792222223,0,6,Business,Critical,South,Airport,46.37,0.3917487922222227,1
DL00050,O00534,D065,V046,H06,2025-09-05 05:03:00,2025-09-05 03:24:00.000000,OnTime,26.85,0,0,5.0,14.34,0,-1.65,1,2,Parcel,Critical,Airport,Central,188.05,0.0,0
DL00051,O00785,D150,V055,H07,2025-12-31 17:27:00,2025-12-31 18:05:52.415764,OnTime,8.02,0,0,4.31,14.59,0,0.6478932677777778,0,4,Passenger,High,East,Central,98.07,0.0,0
DL00052,O00554,D168,V020,H08,2025-05-06 10:37:00,2025-05-06 20:57:25.303009,Delayed,26.380000000000003,1,1,2.52,24.54,0,10.340361946944446,0,2,Medical,High,Airport,Riverside,129.89,8.340361946944446,1
DL00053,O00302,D018,V099,H01,2025-07-10 18:38:00,2025-07-11 17:06:29.590655,OnTime,14.14,0,0,3.63,10.32,0,22.474886293055558,0,24,Retail,High,Riverside,Central,228.25,0.0,0
DL00054,O01044,D117,V079,H01,2025-02-14 07:41:00,2025-02-14 20:37:54.180405,Delayed,29.8,1,0,4.7,22.28,0,12.948383445833333,0,12,Retail,Low,Airport,Riverside,70.39,0.9483834458333327,1
DL00055,O00819,D069,V018,H04,2025-04-28 21:37:00,2025-04-29 04:45:04.624638,Delayed,35.07,5,1,2.78,22.2,0,7.134617955,0,4,Retail,Low,Airport,West,93.02,3.1346179550000004,1
DL00056,O00698,D137,V081,H08,2024-10-22 21:45:00,2024-10-22 22:00:19.303026,OnTime,13.46,2,0,4.01,6.52,0,0.2553619516666667,0,2,Medical,High,South,Central,179.24,0.0,0
DL00057,O00921,D141,V077,H04,2024-12-09 10:53:00,2024-12-09 20:18:39.821307,Failed,10.91,0,0,1.22,6.59,0,9.427728140833333,0,4,Retail,Medium,East,Central,198.22,5.427728140833333,1
DL00058,O01062,D125,V082,H02,2024-10-26 18:46:00,2024-10-26 22:22:57.920354,OnTime,15.33,0,0,5.0,7.95,0,3.616088987222222,0,4,Medical,Medium,East,Central,128.73,0.0,0
DL00059,O00521,D027,V088,H05,2025-11-26 14:07:00,2025-11-26 18:49:47.422787,Delayed,36.28,3,0,3.11,17.45,0,4.713172996388889,0,1,Parcel,High,Airport,South,76.48,3.713172996388889,1
DL00060,O00236,D005,V026,H02,2024-11-26 16:01:00,,Delayed,13.92,1,1,2.35,9.48,1,,0,2,Business,Medium,East,South,118.24,0.0,0
DL00061,O00635,D083,V059,H08,2024-12-06 06:18:00,2024-12-06 05:02:21.529834,OnTime,10.51,1,0,3.8,10.6,0,-1.2606861572222223,1,2,Parcel,Low,Central,North,73.66,0.0,0
DL00062,O00567,D061,V007,H02,2024-02-24 16:31:00,2024-02-25 15:31:54.277282,OnTime,1.2,0,0,5.0,7.32,0,23.015077022777778,0,24,Retail,Low,South,Riverside,33.6,0.0,0
DL00063,O00931,D154,V094,H03,2024-03-07 11:20:00,2024-03-07 15:02:37.855092,OnTime,15.95,0,0,5.0,14.6,0,3.710515303333333,0,4,Parcel,High,North,North,70.8,0.0,0
DL00064,O01236,D075,V004,H03,2025-05-30 00:35:00,2025-05-30 23:36:22.924966,Delayed,10.36,0,0,2.34,7.13,0,23.02303471277778,0,12,Business,Low,South,Airport,156.71,11.023034712777779,1
DL00065,O01234,D050,V065,H01,2024-02-24 01:55:00,2024-02-24 01:52:27.078194,OnTime,1.67,1,0,4.63,6.2,0,-0.04247827944444445,1,2,Parcel,Medium,West,North,119.86,0.0,0
DL00066,O00568,D118,V083,H01,2025-12-19 20:41:00,2025-12-20 00:15:32.806881,OnTime,22.39,0,0,4.03,18.25,0,3.5757796891666667,0,6,Passenger,Medium,Central,Riverside,119.95,0.0,0
DL00067,O00842,D152,V023,H01,2025-07-04 04:43:00,2025-07-04 14:29:14.573095,OnTime,12.34,1,0,4.61,11.04,0,9.77071474861111,0,12,Retail,Low,Central,East,153.82,0.0,0
DL00068,O00828,D104,V046,H08,2024-02-19 15:15:00,2024-02-21 03:47:37.311854,Failed,19.75,1,0,3.73,16.14,0,36.543697737222224,0,24,Passenger,Low,West,West,61.71,12.543697737222224,1
DL00069,O01039,D010,V074,H07,2025-05-01 11:46:00,2025-05-01 19:43:03.174703,Failed,16.76,1,0,4.17,10.73,0,7.950881861944445,0,6,Passenger,Low,West,Riverside,84.17,1.9508818619444446,1
DL00070,O00370,D018,V036,H07,2024-11-21 18:37:00,2024-11-21 21:57:39.434015,OnTime,16.35,0,0,4.64,18.11,0,3.344287226388889,0,4,Parcel,High,South,South,74.04,0.0,0
DL00071,O00796,D093,V080,H02,2025-01-28 06:57:00,2025-01-28 22:41:11.982767,Delayed,20.37,1,0,3.57,18.14,0,15.736661879722222,0,6,Business,High,Central,North,209.05,9.736661879722222,1
DL00072,O00402,D110,V027,H05,2025-11-20 06:20:00,2025-11-20 19:21:38.642714,Delayed,28.51,0,0,3.28,15.11,0,13.02740075388889,0,4,Retail,Medium,West,East,121.87,9.02740075388889,1
DL00073,O00421,D141,V092,H08,2025-07-23 07:06:00,2025-07-24 05:47:40.524208,OnTime,19.34,3,0,4.68,17.54,0,22.694590057777777,0,24,Parcel,Medium,Riverside,East,37.25,0.0,0
DL00074,O01195,D030,V092,H04,2025-01-04 08:41:00,2025-01-05 00:01:18.848212,Failed,17.61,1,0,4.42,14.79,0,15.338568947777777,0,2,Retail,Medium,Airport,Central,94.26,13.338568947777777,1
DL00075,O01239,D169,V047,H02,2024-08-06 04:24:00,2024-08-06 05:22:04.347228,OnTime,13.25,3,0,3.24,11.94,0,0.9678742300000001,0,2,Retail,Medium,South,West,57.51,0.0,0
DL00076,O00815,D120,V004,H01,2024-02-25 17:02:00,2024-02-26 17:44:41.639612,OnTime,27.51,3,0,5.0,15.16,0,24.71156655888889,0,24,Parcel,High,Airport,Airport,216.89,0.7115665588888902,1
DL00077,O01040,D094,V067,H04,2025-12-27 22:16:00,2025-12-28 11:51:46.015071,Delayed,32.97,3,0,2.81,18.07,0,13.5961152975,0,4,Passenger,Medium,Airport,Central,59.93,9.5961152975,1
DL00078,O00173,D144,V088,H02,2025-02-18 08:26:00,2025-02-19 03:34:49.179226,Failed,10.92,1,0,2.87,9.05,0,19.14699422944444,0,2,Passenger,Critical,Central,Central,249.32,17.14699422944444,1
DL00079,O00920,D009,V102,H08,2024-08-01 12:06:00,2024-08-01 23:56:00.561663,OnTime,7.18,0,0,4.91,12.79,0,11.833489350833334,0,12,Passenger,Low,Riverside,East,74.71,0.0,0
DL00080,O01137,D030,V022,H04,2025-10-14 08:21:00,2025-10-14 08:32:00.000000,OnTime,16.29,0,0,4.42,14.17,0,0.18333333333333332,0,2,Passenger,Medium,South,Central,101.93,0.0,0
DL00081,O00716,D166,V056,H04,2024-10-22 06:38:00,2024-10-22 19:18:42.594052,Delayed,9.77,1,1,3.58,12.68,0,12.678498347777778,0,6,Passenger,Medium,East,North,5.92,6.6784983477777775,1
DL00082,O00669,D008,V048,H03,2025-07-15 15:38:00,2025-07-16 00:44:17.490179,OnTime,3.98,1,0,4.76,5.86,0,9.104858383055555,0,12,Parcel,Critical,North,East,80.79,0.0,0
DL00083,O00451,D053,V043,H05,2025-02-15 18:28:00,2025-02-16 13:33:28.440507,Delayed,2.13,0,0,1.44,11.27,0,19.091233474166668,0,12,Retail,Critical,East,Riverside,97.23,7.091233474166668,1
DL00084,O00784,D063,V117,H05,2025-03-07 03:24:00,2025-03-08 07:43:35.335286,Failed,6.83,0,0,3.63,9.07,0,28.32648202388889,0,12,Passenger,Low,East,South,21.26,16.32648202388889,1
DL00085,O00160,D127,V032,H06,2024-08-20 19:18:00,,OnTime,9.49,5,0,3.85,16.32,1,,0,6,Parcel,High,Central,East,68.1,0.0,0
DL00086,O01013,D159,V063,H02,2025-08-22 17:32:00,2025-08-22 19:39:11.266878,OnTime,17.4,0,0,3.75,12.23,0,2.119796355,0,4,Passenger,Low,Central,North,76.79,0.0,0
DL00087,O00630,D034,V099,H07,2025-03-28 15:08:00,2025-03-28 15:28:40.004969,OnTime,17.98,0,0,4.11,13.23,0,0.34444582472222224,0,2,Retail,Low,Central,Central,86.61,0.0,0
DL00088,O00657,D088,V043,H04,2024-02-28 23:43:00,2024-02-29 03:16:11.448581,OnTime,5.99,0,0,4.43,2.5,0,3.553180161388889,0,6,Passenger,Low,South,Central,155.89,0.0,0
DL00089,O00241,D010,V112,H03,2025-04-01 15:27:00,2025-04-01 20:28:34.310529,Failed,8.27,0,0,2.56,6.94,0,5.026197369166666,0,2,Parcel,Low,West,North,99.3,3.026197369166666,1
DL00090,O01097,D027,V065,H04,2024-07-14 23:21:00,2024-07-15 09:00:31.809183,OnTime,33.86,3,0,4.76,24.2,0,9.658835884166667,0,12,Retail,Low,Airport,North,59.58,0.0,0
DL00091,O00941,D116,V044,H04,2024-08-12 15:04:00,2024-08-12 14:48:31.759538,OnTime,14.47,0,0,5.0,10.57,0,-0.2578445727777778,1,1,Passenger,High,West,West,110.52,0.0,0
DL00092,O00736,D105,V016,H01,2024-01-25 00:39:00,2024-01-25 10:47:51.400345,OnTime,7.66,1,0,4.72,8.17,0,10.147611206944445,0,12,Parcel,Medium,Central,East,78.13,0.0,0
DL00093,O00579,D028,V032,H05,2025-09-05 12:14:00,2025-09-05 12:49:10.392527,OnTime,19.68,3,0,3.69,18.64,0,0.5862201463888889,0,4,Medical,Low,Airport,South,24.91,0.0,0
DL00094,O01026,D034,V012,H04,2025-05-26 22:56:00,2025-05-27 09:41:42.033675,Delayed,4.66,0,0,3.72,16.6,0,10.761676020833333,0,1,Business,High,West,Central,20.25,9.761676020833333,1
DL00095,O00416,D031,V005,H08,2024-01-07 23:00:00,2024-01-07 21:37:11.579245,OnTime,28.69,1,0,5.0,13.48,0,-1.380116876388889,1,2,Medical,High,Airport,Airport,26.83,0.0,0
DL00096,O00961,D077,V110,H01,2025-03-18 16:23:00,,Delayed,1.2,0,0,3.24,2.61,1,,0,4,Parcel,Medium,Central,Airport,168.98,0.0,0
DL00097,O00794,D170,V109,H07,2024-07-16 22:51:00,2024-07-18 01:52:17.414330,Failed,10.54,1,0,3.58,3.56,0,27.021503980555554,0,12,Retail,Low,Central,Airport,154.5,15.021503980555554,1
DL00098,O00631,D004,V072,H07,2025-07-05 09:16:00,2025-07-05 15:47:44.173074,Failed,3.86,1,0,4.43,15.58,0,6.528936965,0,2,Business,Low,South,Riverside,47.21,4.528936965,1
DL00099,O00835,D127,V093,H01,2024-05-26 18:57:00,2024-05-26 21:53:38.872935,OnTime,5.6,2,0,4.75,13.26,0,2.944131370833333,0,6,Passenger,Medium,South,Airport,51.0,0.0,0
DL00100,O00205,D120,V097,H05,2025-02-05 16:42:00,2025-02-06 07:09:53.748167,Failed,8.64,0,0,3.14,13.47,0,14.464930046388888,0,6,Parcel,Medium,North,South,63.36,8.464930046388888,1
DL00101,O00354,D141,V115,H06,2025-12-02 18:06:00,2025-12-02 19:18:47.006775,OnTime,21.63,0,0,4.12,14.3,0,1.2130574375,0,2,Parcel,Low,East,Riverside,78.37,0.0,0
DL00102,O00578,D031,V022,H02,2024-03-04 09:56:00,2024-03-04 13:51:57.810092,Delayed,9.18,0,0,3.08,11.31,0,3.9327250255555555,0,4,Retail,High,Central,Central,18.53,0.0,0
DL00103,O00269,D004,V036,H04,2024-12-01 01:20:00,2024-12-01 21:58:15.862002,Failed,6.26,2,0,2.24,9.31,0,20.637739444999998,0,6,Passenger,Medium,North,Riverside,19.29,14.637739444999998,1
DL00104,O00390,D102,V111,H06,2024-03-06 12:50:00,2024-03-06 20:08:19.088413,OnTime,8.75,0,0,4.45,7.5,0,7.305302336944445,0,6,Passenger,Medium,North,North,42.46,1.305302336944445,1
DL00105,O00596,D020,V043,H01,2025-10-02 04:09:00,2025-10-02 10:54:51.626370,OnTime,18.52,0,0,3.73,20.45,0,6.764340658333333,0,12,Parcel,Low,South,East,119.64,0.0,0
DL00106,O00039,D040,V015,H05,2025-08-01 08:30:00,2025-08-01 12:18:45.005907,OnTime,18.02,0,0,4.92,15.57,0,3.8125016408333336,0,6,Parcel,Low,East,Riverside,54.85,0.0,0
DL00107,O00175,D120,V074,H05,2025-12-19 20:22:00,2025-12-19 21:26:01.755844,OnTime,6.47,1,0,4.69,8.8,0,1.0671544011111112,0,4,Business,High,Riverside,West,150.9,0.0,0
DL00108,O00620,D084,V009,H06,2024-11-08 01:38:00,2024-11-08 03:02:54.779512,OnTime,13.73,1,0,4.73,17.52,0,1.4152165311111111,0,2,Retail,Low,South,West,27.57,0.0,0
DL00109,O00019,D014,V083,H05,2024-03-31 09:02:00,2024-03-31 12:20:28.945640,OnTime,16.7,1,0,3.52,16.91,0,3.3080404555555556,0,6,Passenger,Low,North,Central,56.26,0.0,0
DL00110,O00045,D024,V042,H03,2024-02-13 21:24:00,2024-02-14 01:15:37.449725,OnTime,14.39,1,0,4.74,8.64,0,3.860402701388889,0,6,Parcel,Critical,South,Airport,56.64,0.0,0
DL00111,O00105,D081,V090,H06,2024-07-09 23:17:00,2024-07-09 22:43:25.075981,OnTime,18.8,0,0,5.0,20.02,0,-0.5597011163888889,1,4,Passenger,High,North,East,18.19,0.0,0
DL00112,O00848,D068,V049,H05,2025-06-03 14:51:00,2025-06-03 20:37:51.660691,OnTime,10.88,3,0,3.68,8.03,0,5.781016858611111,0,6,Business,High,North,South,27.71,0.0,0
DL00113,O00607,D072,V083,H05,2025-08-30 19:15:00,2025-08-31 06:58:55.972500,OnTime,7.42,0,0,2.94,15.7,0,11.732214583333334,0,12,Parcel,Low,West,West,219.79,0.0,0
DL00114,O01196,D074,V114,H02,2024-04-12 03:31:00,2024-04-12 20:47:55.665668,Delayed,16.99,0,0,2.62,19.44,0,17.282129352222224,0,4,Parcel,Low,South,East,79.58,13.282129352222224,1
DL00115,O01132,D030,V116,H04,2025-05-04 01:04:00,2025-05-04 01:53:19.398895,OnTime,18.75,1,0,4.35,8.08,0,0.822055248611111,0,2,Business,Low,South,Riverside,81.66,0.0,0
DL00116,O00121,D023,V047,H06,2025-10-14 13:45:00,2025-10-15 08:06:51.715228,Delayed,19.9,0,0,2.92,21.64,0,18.36436534111111,0,6,Parcel,Medium,East,North,75.67,12.36436534111111,1
DL00117,O00559,D080,V119,H06,2025-04-24 08:49:00,2025-04-24 23:39:56.698972,Delayed,11.84,0,1,2.46,17.91,0,14.849083047777777,0,12,Business,Medium,North,East,107.27,2.8490830477777767,1
DL00118,O00660,D143,V004,H01,2024-06-05 01:27:00,2024-06-05 16:05:09.661481,Failed,11.45,3,0,2.16,8.94,0,14.636017078055556,0,4,Passenger,High,Central,Airport,27.65,10.636017078055556,1
DL00119,O01011,D076,V037,H03,2024-02-28 07:57:00,2024-02-29 14:55:52.373220,Failed,32.37,3,0,1.71,25.09,0,30.981214783333332,0,12,Business,Low,Airport,South,103.05,18.981214783333332,1
DL00120,O00007,D128,V047,H06,2024-05-05 22:10:00,2024-05-06 07:05:17.555250,Delayed,9.07,1,1,3.93,9.76,0,8.921543125,0,2,Business,Low,Central,Airport,76.12,6.9215431249999995,1
DL00121,O00091,D078,V100,H05,2024-03-14 02:36:00,2024-03-14 09:52:56.769516,OnTime,18.81,0,0,3.92,11.62,0,7.282435976666667,0,6,Parcel,Critical,West,Airport,43.61,1.282435976666667,1
DL00122,O00434,D122,V092,H01,2025-10-25 21:25:00,2025-10-25 20:15:00.000000,OnTime,29.52,4,0,4.63,10.56,0,-1.1666666666666667,1,1,Parcel,High,Airport,Riverside,45.89,0.0,0
DL00123,O00284,D030,V025,H04,2024-04-02 13:26:00,2024-04-03 09:11:28.202168,OnTime,13.45,2,0,4.75,12.86,0,19.757833935555556,0,24,Passenger,High,North,Airport,116.68,0.0,0
DL00124,O00210,D113,V040,H05,2024-05-14 20:07:00,2024-05-15 00:02:59.084441,OnTime,14.23,2,0,4.78,19.49,0,3.933079011388889,0,4,Parcel,High,East,West,106.23,0.0,0
DL00125,O00472,D021,V109,H05,2024-02-22 10:05:00,2024-02-22 12:39:44.134262,OnTime,14.25,3,0,3.68,12.59,0,2.5789261838888886,0,4,Parcel,Medium,South,Riverside,287.3,0.0,0
DL00126,O00547,D159,V001,H07,2024-04-09 14:36:00,2024-04-10 19:11:28.149157,Delayed,17.68,0,0,2.6,10.92,0,28.591152543611113,0,24,Retail,High,Central,South,43.73,4.591152543611113,1
DL00127,O01072,D026,V099,H02,2024-10-05 00:19:00,2024-10-05 18:08:10.081712,Delayed,16.56,2,0,2.12,11.9,0,17.819467142222223,0,6,Passenger,High,West,North,172.79,11.819467142222223,1
DL00128,O00868,D089,V099,H07,2024-05-18 16:31:00,2024-05-18 18:54:46.916689,OnTime,9.43,0,0,4.47,10.47,0,2.3963657469444444,0,4,Passenger,Medium,Central,West,117.19,0.0,0
